first_name,last_name,username,email,phone,gender,birth_date,role,is_superuser,is_staff,is_active,image,
Rami fadi,Amin,user_4660,user7637@example.com,770000820,M,2016-02-17,INSTRUCTOR,0,0,0,user_black.svg,
John,Zaki,user_1765,user3505@example.com,770000821,M,2018-02-05,INSTRUCTOR,1,0,1,user_black.svg,
Salim foad,Youssef,user_2127,user3155@example.com,770000822,F,2021-02-10,INSTRUCTOR,0,1,1,user_black.svg,
Khalid mojally,Ali,user_7647,user1999@example.com,770000823,F,2020-11-17,STUDENT,1,1,1,user_black.svg,
Nora hashed,Amin,user_5315,user9057@example.com,770000824,M,2021-05-16,INSTRUCTOR,0,1,1,user_black.svg,
Adam amri,Abdullah,user_5498,user7208@example.com,770000825,F,2018-07-03,STUDENT,0,0,0,user_black.svg,
Omar akram,Smith,user_7984,user6590@example.com,780000001,F,2024-03-03,ADMIN,1,1,0,user_black.svg,
Khalid mohsen,Khan,user_729,user9073@example.com,780000002,M,2024-10-12,ADMIN,1,1,0,user_black.svg,
Sarah aeeash,Farah,user_3209,user1574@example.com,780000003,F,2023-01-25,INSTRUCTOR,1,1,0,user_black.svg,
Adam osama,Smith,user_4062,user4597@example.com,780000004,M,2021-09-22,STUDENT,1,1,0,user_black.svg,
Laila zaid,Ali,user_7128,user4929@example.com,780000005,F,2015-12-19,ADMIN,1,0,0,user_black.svg,
Hassan soltan,Salem,user_3193,user7688@example.com,780000006,M,2017-02-20,STUDENT,1,1,1,user_black.svg,
Salim soliman,Rahman,user_533,user4005@example.com,780000007,M,2019-04-12,STUDENT,0,1,0,user_black.svg,
Hassan kahlan,Abdullah,user_9478,user2597@example.com,780000008,M,2023-12-30,ADMIN,1,1,0,user_black.svg,
Khalid hisham,Salem,user_3013,user675@example.com,780000009,F,2018-09-23,ADMIN,1,0,1,user_black.svg,
Hassan bassem,Rahman,user_9495,user7158@example.com,780000010,M,2015-06-18,STUDENT,1,0,0,user_black.svg,
Nora bassam,Rahman,user_9921,user3064@example.com,780000011,M,2015-12-21,ADMIN,0,0,1,user_black.svg,
Hassan taha,Ali,user_1642,user1353@example.com,780000012,M,2016-01-01,ADMIN,0,1,0,user_black.svg,
Rami bashar,Salem,user_8501,user1593@example.com,780000013,F,2022-09-27,ADMIN,1,1,1,user_black.svg,
John,Smith,user_8164,user6561@example.com,780000014,F,2018-10-27,STUDENT,0,0,1,user_black.svg,
Amal abdullah,Salem,user_3215,user3826@example.com,780000015,F,2021-05-18,STUDENT,0,1,1,user_black.svg,
Nora mansor,Abdullah,user_2927,user5941@example.com,780000016,M,2021-05-12,INSTRUCTOR,0,0,1,user_black.svg,
Laila ahmed,Ali,user_1686,user8897@example.com,780000017,M,2020-11-08,STUDENT,1,1,0,user_black.svg,
Amal yahia,Salem,user_9130,user9280@example.com,780000018,M,2019-05-11,STUDENT,1,0,1,user_black.svg,
Khalid aiman,Mohamed,user_5560,user3691@example.com,780000019,F,2024-06-26,INSTRUCTOR,1,0,0,user_black.svg,
Adam nabil,Doe,user_4925,user865@example.com,780000020,M,2022-02-19,ADMIN,1,1,0,user_black.svg,
Sarah abduah,Khan,user_8821,user4468@example.com,780000021,M,2015-03-24,INSTRUCTOR,0,0,0,user_black.svg,
Nora khalid,Khan,user_3901,user8355@example.com,780000022,M,2023-06-20,ADMIN,0,0,0,user_black.svg,
Salim senan,Salem,user_1049,user8444@example.com,780000023,F,2024-02-03,STUDENT,0,0,1,user_black.svg,
Amal amro,Youssef,user_169,user2195@example.com,780000024,F,2018-03-27,STUDENT,0,0,1,user_black.svg,
Amal fadl,Farah,user_3364,user3803@example.com,780000025,M,2021-09-14,INSTRUCTOR,0,0,1,user_black.svg,
Amal hussin,Rahman,user_1235,user4269@example.com,710000001,M,2015-03-19,STUDENT,1,0,1,user_black.svg,
Khalid ali,Hussein,user_3941,user9590@example.com,710000002,F,2022-03-18,INSTRUCTOR,0,0,0,user_black.svg,
Salim ali,Amin,user_2778,user5177@example.com,710000003,M,2017-10-14,STUDENT,1,0,0,user_black.svg,
Sarah ali,Farah,user_6995,user9309@example.com,710000004,F,2021-08-21,STUDENT,1,1,0,user_black.svg,
Rami ali,Ali,user_3356,user8899@example.com,710000005,M,2018-05-07,INSTRUCTOR,1,1,0,user_black.svg,
Zain,Rahman,user_1094,user1480@example.com,710000006,F,2024-01-14,INSTRUCTOR,1,0,0,user_black.svg,
Adam ali,Farah,user_9446,user2943@example.com,710000007,F,2016-02-17,ADMIN,0,1,1,user_black.svg,
Laila ali,Ali,user_8599,user1756@example.com,710000008,M,2017-12-06,ADMIN,0,0,1,user_black.svg,
Khalid ali,Doe,user_8550,user2267@example.com,710000009,F,2020-10-04,STUDENT,1,0,1,user_black.svg,
Hassan ali,Smith,user_511,user956@example.com,710000010,F,2019-03-19,INSTRUCTOR,0,0,1,user_black.svg,
Huda,Doe,user_7470,user1442@example.com,710000011,M,2017-01-16,INSTRUCTOR,1,1,1,user_black.svg,
Salim ali,Zaki,user_2644,user8501@example.com,710000012,F,2018-02-23,ADMIN,0,1,1,user_black.svg,
Omar ali,Salem,user_1105,user6409@example.com,710000013,M,2019-11-25,ADMIN,1,1,1,user_black.svg,
Salim ali,Youssef,user_6179,user7261@example.com,710000014,F,2020-08-14,ADMIN,1,1,0,user_black.svg,
Zain,Hussein,user_999,user1709@example.com,710000015,F,2021-09-18,INSTRUCTOR,0,0,0,user_black.svg,
Rami faris,Ali,user_4314,user1659@example.com,710000016,F,2022-10-14,ADMIN,0,1,0,user_black.svg,
Nora ali,Hussein,user_7449,user9122@example.com,710000017,M,2017-10-18,INSTRUCTOR,0,0,1,user_black.svg,
Laila ali,Salem,user_5419,user2506@example.com,710000018,M,2020-04-06,ADMIN,0,1,0,user_black.svg,
Huda,Zaki,user_1044,user5220@example.com,710000019,M,2024-11-14,STUDENT,0,1,1,user_black.svg,
Amal ali,Amin,user_1833,user4886@example.com,710000020,F,2018-11-22,ADMIN,1,0,0,user_black.svg,
Huda,Hussein,user_9859,user8612@example.com,710000021,F,2023-11-08,INSTRUCTOR,1,0,1,user_black.svg,
Khalid ali,Khan,user_3679,user2888@example.com,710000022,F,2020-06-17,ADMIN,0,0,0,user_black.svg,
Laila ibraheem,Ali,user_5196,user1297@example.com,710000023,F,2022-05-11,STUDENT,1,0,0,user_black.svg,
John,Salem,user_6544,user3863@example.com,710000024,M,2023-07-29,STUDENT,1,0,1,user_black.svg,
Zain,Amin,user_455,user7222@example.com,710000025,M,2019-01-24,STUDENT,1,0,0,user_black.svg,
Huda,Mohamed,user_1673,user8591@example.com,730000001,M,2017-09-04,INSTRUCTOR,0,0,1,user_black.svg,
Huda,Rahman,user_9178,user5410@example.com,730000002,F,2018-06-26,INSTRUCTOR,1,1,1,user_black.svg,
Hassan ali,Hussein,user_2775,user3830@example.com,730000003,F,2019-11-29,INSTRUCTOR,1,1,1,user_black.svg,
Laila ali,Hussein,user_3791,user2568@example.com,730000004,M,2016-11-12,INSTRUCTOR,1,0,1,user_black.svg,
Zain,Mohamed,user_7451,user2582@example.com,730000005,M,2019-06-05,INSTRUCTOR,0,0,0,user_black.svg,
Sarah ali,Khan,user_6141,user2360@example.com,730000006,M,2022-11-18,ADMIN,0,1,1,user_black.svg,
Hassan ali,Khan,user_7584,user1677@example.com,730000007,F,2019-10-19,ADMIN,0,0,1,user_black.svg,
Hassan ali,Amin,user_2459,user5349@example.com,730000008,M,2015-09-28,STUDENT,1,0,1,user_black.svg,
Nora ali,Rahman,user_6807,user5610@example.com,730000009,M,2018-05-20,ADMIN,1,0,1,user_black.svg,
John,Ali,user_8565,user5558@example.com,730000010,M,2024-07-04,STUDENT,0,0,1,user_black.svg,
Zain,Youssef,user_7775,user491@example.com,730000011,F,2022-06-17,INSTRUCTOR,1,0,0,user_black.svg,
Amal ali,Abdullah,user_4510,user5569@example.com,730000012,F,2022-11-21,INSTRUCTOR,0,0,1,user_black.svg,
Amal ali,Smith,user_2643,user4694@example.com,730000013,M,2020-04-20,INSTRUCTOR,1,0,0,user_black.svg,
Nora yossof,Zaki,user_7286,user6201@example.com,730000014,F,2017-09-05,ADMIN,0,1,0,user_black.svg,
Khalid mukhtar,Khan,user_4191,user1081@example.com,730000015,F,2015-07-16,ADMIN,1,1,1,user_black.svg,
John,Khan,user_138,user1199@example.com,730000016,F,2015-01-31,INSTRUCTOR,1,1,0,user_black.svg,
Nora ali,Mohamed,user_4298,user1711@example.com,730000017,F,2019-04-25,ADMIN,0,0,1,user_black.svg,
Huda,Salem,user_1028,user2660@example.com,730000018,F,2019-07-02,INSTRUCTOR,0,0,0,user_black.svg,
Hassan ali,Doe,user_1785,user3755@example.com,730000019,M,2016-09-25,STUDENT,0,0,0,user_black.svg,
Omar ali,Mohamed,user_5735,user4284@example.com,730000020,F,2022-05-23,STUDENT,0,0,1,user_black.svg,
Laila ali,Zaki,user_1365,user4660@example.com,730000021,M,2022-05-24,STUDENT,1,1,0,user_black.svg,
Rami ali,Farah,user_3916,user1647@example.com,730000022,M,2022-10-29,ADMIN,1,0,0,user_black.svg,
Laila ali,Doe,user_9969,user2338@example.com,730000023,F,2017-06-19,ADMIN,0,0,1,user_black.svg,
Rami ali,Rahman,user_1602,user8287@example.com,730000024,M,2017-12-12,ADMIN,0,1,0,user_black.svg,
John,Abdullah,user_7680,user7364@example.com,730000025,M,2016-02-05,ADMIN,0,1,0,user_black.svg,
Zain ali,Amin,user_7302,user5365@example.com,730000026,M,2015-08-26,ADMIN,0,0,1,user_black.svg,
